,cusine,Location,Rating,price_for_one
0,Pizza,Indiranagar,4.3,300
1,Fast Food,Indiranagar,4.3,300
2,North Indian,Brigade Road,4.0,300
3,Biryani,Brigade Road,4.0,300
4,Kebab,Brigade Road,4.0,300
5,Chinese,Brigade Road,4.0,300
6,South Indian,Brigade Road,4.0,300
7,Mughlai,Brigade Road,4.0,300
8,Beverages,Brigade Road,4.0,300
9,Burger,Frazer Town,4.3,300
10,Fast Food,Frazer Town,4.3,300
11,Wraps,Frazer Town,4.3,300
12,Street Food,Frazer Town,4.3,300
13,Desserts,Frazer Town,4.3,300
14,Beverages,Frazer Town,4.3,300
15,Burger,St. Marks Road,4.4,300
16,American,St. Marks Road,4.4,300
17,Bakery,St. Marks Road,4.4,300
18,Italian,St. Marks Road,4.4,300
19,Oriental,St. Marks Road,4.4,300
20,Continental,St. Marks Road,4.4,300
21,Beverages,St. Marks Road,4.4,300
22,Desserts,St. Marks Road,4.4,300
23,Pizza,Indiranagar,4.1,300
24,Fast Food,Indiranagar,4.1,300
25,Desserts,Indiranagar,4.1,300
26,Beverages,Indiranagar,4.1,300
27,Biryani,CV Raman Nagar,3.9,300
28,North Indian,CV Raman Nagar,3.9,300
29,Chinese,CV Raman Nagar,3.9,300
30,Mughlai,CV Raman Nagar,3.9,300
31,Kebab,CV Raman Nagar,3.9,300
32,Seafood,CV Raman Nagar,3.9,300
33,Ice Cream,CV Raman Nagar,3.9,300
34,Beverages,CV Raman Nagar,3.9,300
35,South Indian,Old Airport Road,3.7,300
36,North Indian,Old Airport Road,3.7,300
37,Chinese,Old Airport Road,3.7,300
38,Street Food,Old Airport Road,3.7,300
39,Beverages,Old Airport Road,3.7,300
40,Ice Cream,Old Airport Road,3.7,300
41,Shake,Old Airport Road,3.7,300
42,Pizza,Indiranagar,4.4,300
43,Fast Food,Indiranagar,4.4,300
44,Beverages,Indiranagar,4.4,300
45,Desserts,Indiranagar,4.4,300
46,Biryani,Residency Road,4.4,300
47,Andhra,Residency Road,4.4,300
48,North Indian,Residency Road,4.4,300
49,Seafood,Residency Road,4.4,300
50,Burger,Ulsoor,3.8,200
51,Fast Food,Ulsoor,3.8,200
52,Beverages,Ulsoor,3.8,200
53,Burger,CV Raman Nagar,3.5,200
54,Fast Food,CV Raman Nagar,3.5,200
55,Biryani,CV Raman Nagar,3.5,200
56,Desserts,CV Raman Nagar,3.5,200
57,Beverages,CV Raman Nagar,3.5,200
58,Burger,Old Madras Road,4.1,200
59,Fast Food,Old Madras Road,4.1,200
60,Beverages,Old Madras Road,4.1,200
61,Desserts,Old Madras Road,4.1,200
62,Mughlai,Residency Road,4.0,200
63,North Indian,Residency Road,4.0,200
64,Biryani,Residency Road,4.0,200
65,Chinese,Residency Road,4.0,200
66,Seafood,Residency Road,4.0,200
67,Ice Cream,Residency Road,4.0,200
68,Desserts,Residency Road,4.0,200
69,Beverages,Residency Road,4.0,200
70,North Indian,Indiranagar,3.9,200
71,South Indian,Indiranagar,3.9,200
72,Chinese,Indiranagar,3.9,200
73,Mughlai,Indiranagar,3.9,200
74,Biryani,Indiranagar,3.9,200
75,Fast Food,Indiranagar,3.9,200
76,Beverages,Indiranagar,3.9,200
77,Desserts,Indiranagar,3.9,200
78,South Indian,Ulsoor,4.1,200
79,Street Food,Ulsoor,4.1,200
80,North Indian,Ulsoor,4.1,200
81,Chinese,Ulsoor,4.1,200
82,Fast Food,Ulsoor,4.1,200
83,Beverages,Ulsoor,4.1,200
84,Desserts,Ulsoor,4.1,200
85,Biryani,Old Airport Road,4.0,200
86,North Indian,Old Airport Road,4.0,200
87,Hyderabadi,Old Airport Road,4.0,200
88,Mughlai,Old Airport Road,4.0,200
89,Chinese,Old Airport Road,4.0,200
90,North Indian,Old Madras Road,3.7,200
91,Mughlai,Old Madras Road,3.7,200
92,Chinese,Old Madras Road,3.7,200
93,Kebab,Old Madras Road,3.7,200
94,Rolls,Old Madras Road,3.7,200
95,Seafood,Old Madras Road,3.7,200
96,Arabian,Old Madras Road,3.7,200
97,Biryani,Old Madras Road,3.7,200
98,North Indian,Commercial Street,3.5,200
99,Street Food,Commercial Street,3.5,200
100,Beverages,Commercial Street,3.5,200
101,North Indian,Commercial Street,3.8,200
102,Street Food,Commercial Street,3.8,200
103,Rajasthani,Commercial Street,3.8,200
104,Bengali,Commercial Street,3.8,200
105,Mithai,Commercial Street,3.8,200
106,Beverages,Commercial Street,3.8,200
107,Desserts,Commercial Street,3.8,200
108,Pizza,Old Airport Road,3.6,200
109,Fast Food,Old Airport Road,3.6,200
110,Desserts,Old Airport Road,3.6,200
111,Beverages,Old Airport Road,3.6,200
112,Andhra,Frazer Town,4.0,200
113,Biryani,Frazer Town,4.0,200
114,South Indian,Frazer Town,4.0,200
115,North Indian,Frazer Town,4.0,200
116,Chinese,Frazer Town,4.0,200
117,Mughlai,Frazer Town,4.0,200
118,Desserts,Frazer Town,4.0,200
119,Beverages,Frazer Town,4.0,200
120,Pizza,Koramangala 4th Block,3.8,200
121,Fast Food,Koramangala 4th Block,3.8,200
122,Biryani,Koramangala 5th Block,3.9,200
123,Chettinad,Koramangala 5th Block,3.9,200
124,Chinese,Koramangala 5th Block,3.9,200
125,North Indian,Koramangala 5th Block,3.9,200
126,South Indian,Koramangala 5th Block,3.9,200
127,Rolls,Frazer Town,3.8,200
128,Chinese,Frazer Town,3.8,200
129,Momos,Frazer Town,3.8,200
130,North Indian,Old Airport Road,3.8,200
131,Chinese,Old Airport Road,3.8,200
132,Biryani,Richmond Road,3.7,200
133,South Indian,Richmond Road,3.7,200
134,North Indian,Kaggadasapura,3.7,200
135,Chinese,Kaggadasapura,3.7,200
136,Mughlai,Kaggadasapura,3.7,200
137,South Indian,Indiranagar,3.9,200
138,Biryani,Indiranagar,3.9,200
139,Biryani,Kammanahalli,4.0,200
140,Andhra,Kammanahalli,4.0,200
141,North Indian,Kammanahalli,4.0,200
142,Chinese,Kammanahalli,4.0,200
143,Mughlai,Kammanahalli,4.0,200
144,South Indian,Kammanahalli,4.0,200
145,Desserts,Kammanahalli,4.0,200
146,Beverages,Kammanahalli,4.0,200
147,Rolls,Jeevan Bhima Nagar,3.3,200
148,Fast Food,Jeevan Bhima Nagar,3.3,200
149,Kerala,Richmond Town,3.6,200
150,South Indian,Richmond Town,3.6,200
151,Seafood,Richmond Town,3.6,200
152,North Indian,Richmond Town,3.6,200
153,Chinese,Richmond Town,3.6,200
154,Arabian,Richmond Town,3.6,200
155,Beverages,Richmond Town,3.6,200
156,Shake,Richmond Town,3.6,200
157,North Indian,HSR,4.3,200
158,Mughlai,HSR,4.3,200
159,Continental,HSR,4.3,200
160,Fast Food,HSR,4.3,200
161,Biryani,HSR,4.3,200
162,Beverages,HSR,4.3,200
163,Desserts,HSR,4.3,200
164,Biryani,Ulsoor,4.2,200
165,Kebab,Ulsoor,4.2,200
166,North Indian,Richmond Town,3.6,100
167,Kebab,Richmond Town,3.6,100
168,Hyderabadi,Richmond Town,3.6,100
169,Mughlai,Richmond Town,3.6,100
170,Chinese,Richmond Town,3.6,100
171,Rolls,Richmond Town,3.6,100
172,Ice Cream,CV Raman Nagar,4.5,100
173,Desserts,CV Raman Nagar,4.5,100
174,Beverages,CV Raman Nagar,4.5,100
175,Shake,CV Raman Nagar,4.5,100
176,Mithai,Old Airport Road,4.3,100
177,Street Food,Old Airport Road,4.3,100
178,Andhra,Marathahalli,3.7,100
179,South Indian,Marathahalli,3.7,100
180,North Indian,Marathahalli,3.7,100
181,Biryani,Marathahalli,3.7,100
182,Chinese,Marathahalli,3.7,100
183,Seafood,Marathahalli,3.7,100
184,Pizza,Indiranagar,4.4,100
185,Fast Food,Indiranagar,4.4,100
186,Desserts,Indiranagar,4.4,100
187,Beverages,Indiranagar,4.4,100
188,Ice Cream,Residency Road,4.5,100
189,Desserts,Residency Road,4.5,100
190,Shake,Residency Road,4.5,100
191,Chinese,Frazer Town,4.1,100
192,Thai,Frazer Town,4.1,100
193,Seafood,Frazer Town,4.1,100
194,Healthy Food,Frazer Town,4.1,100
195,Sichuan,Frazer Town,4.1,100
196,Andhra,Near Jeevan Bhima Nagar,4.2,100
