name,lat,long,review,cusine,rating,price,Location
Ovenstory Pizza,12.97817,77.63832,5111,"pizza, fast food",4.3,300,indiranagar
Empire Restaurant,12.9672716246,77.6089762151,3587,"north indian, biryani, kebab, chinese, south indian, mughlai, beverages",4.0,300,brigade road
Leon's Burgers & Wings,12.9977255096,77.6109583693,18,"burger, fast food, wraps, street food, desserts, beverages",4.3,300,frazer town
Truffles,12.9719284074,77.601063028,1960,"burger, american, bakery, italian, oriental, continental, beverages, desserts",4.4,300,st. marks road
Domino's Pizza,12.9808715513,77.6405934244,419,"pizza, fast food, desserts, beverages",4.1,300,indiranagar
Biriyani Zone,12.9731882362,77.678300254,73,"biryani, north indian, chinese, mughlai, kebab, seafood, ice cream, beverages",3.9,300,cv raman nagar
Sri Udupi Park,12.9620985173,77.6494162157,193,"south indian, north indian, chinese, street food, beverages, ice cream, shake",3.7,300,old airport road
LeanCrust Pizza- ThinCrust Experts,12.980606,77.646376,402,"pizza, fast food, beverages, desserts",4.4,300,indiranagar
Meghana Foods,12.9731013292,77.6092397422,2316,"biryani, andhra, north indian, seafood",4.4,300,residency road
McDonald's,12.9727638288,77.6214709505,161,"burger, fast food, beverages",3.8,200,ulsoor
KFC,12.9792802,77.6579585,0,"burger, fast food, biryani, desserts, beverages",3.5,200,cv raman nagar
Burger King,12.992986,77.661929,112,"burger, fast food, beverages, desserts",4.1,200,old madras road
Imperial Restaurant,12.9713429246,77.6057850569,453,"mughlai, north indian, biryani, chinese, seafood, ice cream, desserts, beverages",4.0,200,residency road
Rotti Walla,12.974159,77.635941,11413,"north indian, south indian, chinese, mughlai, biryani, fast food, beverages, desserts",3.9,200,indiranagar
A2B - Adyar Ananda Bhavan,12.9877339619,77.6184407249,71,"south indian, street food, north indian, chinese, fast food, beverages, desserts",4.1,200,ulsoor
Hyderabad Biryaani House,12.9594705911,77.6560925692,1419,"biryani, north indian, hyderabadi, mughlai, chinese",4.0,200,old airport road
M.M.A Kabab and Rolls,12.9822371878,77.6339546219,114,"north indian, mughlai, chinese, kebab, rolls, seafood, arabian, biryani",3.7,200,old madras road
Kailash Parbat,12.98257,77.6098,93,"north indian, street food, beverages",3.5,200,commercial street
Bhartiya Jalpan,12.9817115166,77.6095622778,133,"north indian, street food, rajasthani, bengali, mithai, beverages, desserts",3.8,200,commercial street
Pizza Hut,12.9589157923,77.6542451978,423,"pizza, fast food, desserts, beverages",3.6,200,old airport road
Nandhini Deluxe,12.9960136874,77.6130320504,476,"andhra, biryani, south indian, north indian, chinese, mughlai, desserts, beverages",4.0,200,frazer town
La Pino'z Pizza,12.9319405576,77.632207498,792,"pizza, fast food",3.8,200,koramangala 4th block
Ambur Star Briyani Since 1890,12.9347334655,77.6160508767,6,"biryani, chettinad, chinese, north indian, south indian",3.9,200,koramangala 5th block
Pathaan Sir,12.995817021,77.6136271656,133,"rolls, chinese, momos",3.8,200,frazer town
New Punjabi Hotel,12.9594542543,77.6556845382,252,"north indian, chinese",3.8,200,old airport road
Donne Biriyani House,12.9687023,77.6097824,418,"biryani, south indian",3.7,200,richmond road
Punjab Junction,12.9852572433,77.6733975112,319,"north indian, chinese, mughlai",3.7,200,kaggadasapura
Gowdru Hotel,12.9740236535,77.635948509,177,"south indian, biryani",3.9,200,indiranagar
Nandhana Palace,13.0149465104,77.6358335093,1250,"biryani, andhra, north indian, chinese, mughlai, south indian, desserts, beverages",4.0,200,kammanahalli
Five Star Chicken,12.9677517,77.653375,2595,"rolls, fast food",3.3,200,jeevan bhima nagar
Thalassery Restaurant,12.9628132091,77.6040924531,254,"kerala, south indian, seafood, north indian, chinese, arabian, beverages, shake",3.6,200,richmond town
Al Daaz,12.9207633849,77.6515194029,1568,"north indian, mughlai, continental, fast food, biryani, beverages, desserts",4.3,200,hsr
Mani's Dum Biryani,12.9773633341,77.619291991,252,"biryani, kebab",4.2,200,ulsoor
Kabab Magic,12.9640984409,77.6065716147,139,"north indian, kebab, hyderabadi, mughlai, chinese, rolls",3.6,100,richmond town
Polar Bear,12.9795098279,77.6579097658,2,"ice cream, desserts, beverages, shake",4.5,100,cv raman nagar
Kanti Sweets,12.9589821199,77.6601316407,3585,"mithai, street food",4.3,100,old airport road
Kritunga Restaurant,12.9478702025,77.6992563531,1698,"andhra, south indian, north indian, biryani, chinese, seafood",3.7,100,marathahalli
MOJO Pizza - 2X Toppings,12.9806572307,77.6461529732,9126,"pizza, fast food, desserts, beverages",4.4,100,indiranagar
Corner House Ice Creams,12.9736747193,77.6093218848,730,"ice cream, desserts, shake",4.5,100,residency road
Beijing Bites,12.9971257318,77.614200823,274,"chinese, thai, seafood, healthy food, sichuan",4.1,100,frazer town
Andhra Gunpowder,12.968187,77.650777,11267,"andhra, biryani, south indian, desserts, beverages, hyderabadi",4.2,100,near jeevan bhima nagar
Behrouz Biryani,12.97817,77.63832,3895,"biryani, kebab, hyderabadi, lucknowi",4.1,100,indiranagar
Paakashala,12.9759548712,77.6148462296,5,"south indian, north indian, chinese, biryani, street food, beverages",4.2,100,ulsoor
CakeZone,13.007994,77.641945,373,"bakery, desserts",3.9,100,banaswadi
Sharief Bhai,12.9966847042,77.6142004877,716,"biryani, mughlai, kebab, afghan, street food, beverages, desserts",4.1,100,frazer town
BOX8 - Desi Meals,12.9806627847,77.6461429149,16945,"north indian, wraps, fast food, biryani, desserts, beverages",4.2,250,indiranagar
RNR Biryani - Taste Of 1953,13.0150197648,77.6357109964,560,"biryani, south indian, andhra",4.0,250,kammanahalli
Subway,12.9790086543,77.6580535993,118,"healthy food, fast food, sandwich, salad, beverages, wraps",3.7,250,cv raman nagar
Faasos - Wraps & Rolls,12.9713595873,77.6583509892,5507,"rolls, wraps, fast food",4.0,250,thippasandra
Paradise Biryani,12.9121631831,77.6435991749,432,"biryani, north indian, kebab",3.8,250,near hsr
FreshMenu,12.9939644,77.6638581,18038,"continental, healthy food, fast food, burger, sandwich, chinese, pasta, beverages",3.8,250,cv raman nagar
Taco Bell,12.9928270808,77.6614964924,1,"mexican, fast food, wraps, beverages",4.1,250,old madras road
