restaurant_name,Review,cusine,rating,place,price
Ovenstory Pizza,5111,"Pizza, Fast Food",4.3,indiranagar,300
Empire Restaurant,3587,"North Indian, Biryani, Kebab, Chinese, South Indian, Mughlai, Beverages",4.0,brigade road,300
Leon's Burgers & Wings,18,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages",4.3,frazer town,300
Truffles,1960,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",4.4,st. marks road,300
Domino's Pizza,419,"Pizza, Fast Food, Desserts, Beverages",4.1,indiranagar,300
Biriyani Zone,73,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages",3.9,cv raman nagar,300
Sri Udupi Park,193,"South Indian, North Indian, Chinese, Street Food, Beverages, Ice Cream, Shake",3.7,old airport road,300
LeanCrust Pizza- ThinCrust Experts,402,"Pizza, Fast Food, Beverages, Desserts",4.4,indiranagar,300
Meghana Foods,2316,"Biryani, Andhra, North Indian, Seafood",4.4,residency road,300
McDonald's,161,"Burger, Fast Food, Beverages",3.8,ulsoor,200
KFC,0,"Burger, Fast Food, Biryani, Desserts, Beverages",3.5,cv raman nagar,200
Burger King,112,"Burger, Fast Food, Beverages, Desserts",4.1,old madras road,200
Imperial Restaurant,453,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages",4.0,residency road,200
Rotti Walla,11413,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts",3.9,indiranagar,200
A2B - Adyar Ananda Bhavan,71,"South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts",4.1,ulsoor,200
Hyderabad Biryaani House,1419,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese",4.0,old airport road,200
M.M.A Kabab and Rolls,114,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani",3.7,old madras road,200
Kailash Parbat,93,"North Indian, Street Food, Beverages",3.5,commercial street,200
Bhartiya Jalpan,133,"North Indian, Street Food, Rajasthani, Bengali, Mithai, Beverages, Desserts",3.8,commercial street,200
Pizza Hut,423,"Pizza, Fast Food, Desserts, Beverages",3.6,old airport road,200
Nandhini Deluxe,476,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",4.0,frazer town,200
La Pino'z Pizza,792,"Pizza, Fast Food",3.8,koramangala 4th block,200
Ambur Star Briyani Since 1890,6,"Biryani, Chettinad, Chinese, North Indian, South Indian",3.9,koramangala 5th block,200
Pathaan Sir,133,"Rolls, Chinese, Momos",3.8,frazer town,200
New Punjabi Hotel,252,"North Indian, Chinese",3.8,old airport road,200
Donne Biriyani House,418,"Biryani, South Indian",3.7,richmond road,200
Punjab Junction,319,"North Indian, Chinese, Mughlai",3.7,kaggadasapura,200
Gowdru Hotel,177,"South Indian, Biryani",3.9,indiranagar,200
Nandhana Palace,1250,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages",4.0,kammanahalli,200
Five Star Chicken,2595,"Rolls, Fast Food",3.3,jeevan bhima nagar,200
Thalassery Restaurant,254,"Kerala, South Indian, Seafood, North Indian, Chinese, Arabian, Beverages, Shake",3.6,richmond town,200
Al Daaz,1568,"North Indian, Mughlai, Continental, Fast Food, Biryani, Beverages, Desserts",4.3,hsr,200
Mani's Dum Biryani,252,"Biryani, Kebab",4.2,ulsoor,200
Kabab Magic,139,"North Indian, Kebab, Hyderabadi, Mughlai, Chinese, Rolls",3.6,richmond town,100
Polar Bear,2,"Ice Cream, Desserts, Beverages, Shake",4.5,cv raman nagar,100
Kanti Sweets,3585,"Mithai, Street Food",4.3,old airport road,100
Kritunga Restaurant,1698,"Andhra, South Indian, North Indian, Biryani, Chinese, Seafood",3.7,marathahalli,100
MOJO Pizza - 2X Toppings,9126,"Pizza, Fast Food, Desserts, Beverages",4.4,indiranagar,100
Corner House Ice Creams,730,"Ice Cream, Desserts, Shake",4.5,residency road,100
Beijing Bites,274,"Chinese, Thai, Seafood, Healthy Food, Sichuan",4.1,frazer town,100
Andhra Gunpowder,11267,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",4.2,near jeevan bhima nagar,100
Behrouz Biryani,3895,"Biryani, Kebab, Hyderabadi, Lucknowi",4.1,indiranagar,100
Paakashala,5,"South Indian, North Indian, Chinese, Biryani, Street Food, Beverages",4.2,ulsoor,100
CakeZone,373,"Bakery, Desserts",3.9,banaswadi,100
Sharief Bhai,716,"Biryani, Mughlai, Kebab, Afghan, Street Food, Beverages, Desserts",4.1,frazer town,100
BOX8 - Desi Meals,16945,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages",4.2,indiranagar,250
RNR Biryani - Taste Of 1953,560,"Biryani, South Indian, Andhra",4.0,kammanahalli,250
Subway,118,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps",3.7,cv raman nagar,250
Faasos - Wraps & Rolls,5507,"Rolls, Wraps, Fast Food",4.0,thippasandra,250
Paradise Biryani,432,"Biryani, North Indian, Kebab",3.8,near hsr,250
FreshMenu,18038,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages",3.8,cv raman nagar,250
Taco Bell,1,"Mexican, Fast Food, Wraps, Beverages",4.1,old madras road,250
EatFit,1955,"Healthy Food, North Indian, Pizza, Burger, Pasta, Biryani, Chinese, Beverages",3.8,banaswadi,250
Dindigul Thalappakatti,377,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",3.9,mg road,250
California Burrito,1533,"Mexican, Fast Food, Beverages",4.3,koramangala 5th block,250
WOW! Momo,0,"Momos, Fast Food, Tibetan",4.0,cv raman nagar,250
Potful - Claypot Biryanis,2181,"Biryani, Kebab, Mughlai, North Indian, Desserts",4.2,thippasandra,250
Kapoor's Cafe,744,"North Indian, Beverages, Desserts",3.9,kalyan nagar,200
Natural Ice Cream,251,"Ice Cream, Beverages",4.5,st. marks road,200
Lassi Shop,0,"Beverages, Fast Food, Burger, Shake, Juices, Ice Cream, Desserts",3.7,banaswadi,200
Biryani Trip - Destination Hyderabad,14113,"Biryani, South Indian, Mughlai, Andhra, Desserts, Hyderabadi",4.2,near jeevan bhima nagar,200
Madeena Hotel,275,"Biryani, Kebab, North Indian",4.0,koramangala 5th block,200
Biryani By Kilo,311,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",4.2,koramangala 6th block,200
Anand Sweets And Savouries,2109,"Mithai, Street Food, Beverages, Desserts",4.3,commercial street,200
Goli Vada Pav,0,"Street Food, Burger, Fast Food, Ice Cream",3.6,kaggadasapura,200
WarmOven Cake & Desserts,5036,"Bakery, Desserts, Ice Cream, Shake",3.9,kaggadasapura,200
Nagarjuna,2302,"Andhra, Biryani, North Indian",4.3,residency road,200
Kwality Wall’s Frozen Dessert and Ice Cream Shop,127,"Ice Cream, Desserts",4.1,indiranagar,200
EasyBites by Empire,414,"Burger, Fast Food, Beverages",4.1,brigade road,200
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",159,"Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food",4.2,old airport road,250
Amma's Pastries,487,Bakery,4.3,indiranagar,250
Narmada Chain of Restaurants,0,"Andhra, Hyderabadi, Biryani, North Indian, Chinese, Beverages",New,frazer town,250
Savoury Restaurant,214,"Arabian, Mughlai, North Indian, Chinese, Fast Food, Beverages, Shake, Desserts",4.0,varsova layout kaggadasapura,250
Royal Restaurant,225,"North Indian, Chinese, Sichuan",3.9,shivajinagar,250
Bakingo,6420,"Bakery, Desserts",4.3,koramangala 1st block,250
Vijayalakshmi Veg,97,"South Indian, Chinese, North Indian, Sichuan",4.0,frazer town,250
Rolls On Wheels,84,"North Indian, Rolls, Fast Food",4.0,indiranagar,250
The Pizza Bakery - Brew & Eatery,172,"Pizza, Pasta, Italian, Desserts, Continental, Beverages",4.1,church street,250
Paratha Envy,7255,North Indian,4.2,thippasandra,250
Moriz Nano Restaurant,215,"North Indian, Chinese, Arabian, Mughlai, Fast Food, Beverages, Shake",3.5,ulsoor,250
Call Me Chow,2617,"Chinese, Japanese, Thai, Indonesian, Asian",4.2,kalyan nagar,250
The Punjabi Rasoi,3042,"North Indian, Chinese, Mughlai",4.1,brookefield,200
Barbeque Nation,1654,"Street Food, Mughlai, Biryani, North Indian, Desserts, Beverages, Bar Food",3.9,ulsoor,200
Chulha Chauki Da Dhaba,3278,"North Indian, Chinese, Kebab, Mughlai, Biryani, Desserts, Beverages",4.2,marathahalli,200
The Belgian Waffle Co.,34,"Waffle, Pancake, Desserts, Beverages, Ice Cream",4.3,koramangala 7th block,200
Baskin Robbins,31,"Ice Cream, Desserts",4.1,old airport road,200
Great Indian Khichdi by EatFit,356,"Healthy Food, North Indian, Ice Cream, Desserts, Beverages",3.7,basavanagudi,200
Anjappar,37,"South Indian, Chettinad, Biryani, Seafood, Chinese, North Indian, Desserts, Beverages",4.0,brigade road,200
Glen's Bakehouse,310,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts",4.3,koramangala 6th block,200
New Udupi Garden,61,"South Indian, North Indian, Beverages, Chinese",3.7,old airport road,200
LunchBox - Meals and Thalis,377,North Indian,3.8,thippasandra,200
Biryani Blues,234,"Biryani, Kebab, Hyderabadi",4.1,church street,200
Theobroma,11,"Bakery, Desserts, Beverages",4.3,frazer town,200
Aroma's Hyderabad House,136,"Biryani, Mughlai, North Indian, Chinese, Kebab, Beverages",3.8,marathahalli,300
Siddique Kabab Centre,553,"Mughlai, Chinese, North Indian, Rolls, Sichuan",3.9,frazer town,300
Ghee And Turmeric,248,North Indian,4.1,cv raman nagar,300
ZAZA 22 Spice Awadhi Biryani,792,"Biryani, Mughlai, North Indian",4.0,indiranagar,300
NH1 Bowls - Highway To North,518,"North Indian, Kebab, Desserts",4.4,indiranagar,300
New Udupi Grand,14,"South Indian, North Indian, Chinese, Street Food, Beverages, Shake",3.9,jeevan bhima nagar,300
WOW! China,26,"Chinese, Rolls, Seafood, Desserts, Shake, Sichuan",3.9,church street,300
The Biryani Life,315,"Biryani, Kebab, Hyderabadi, Lucknowi",3.7,thippasandra,300
Samosa Party,1,"Street Food, Beverages",4.2,old airport road,300
7 Plates,3118,"North Indian, Mughlai, Rolls, Chinese",4.1,frazer town,300
UBQ By Barbeque Nation,1371,"North Indian, BBQ, Biryani, Kebab",3.6,ulsoor,300
Smoor,556,"Bakery, Desserts",4.4,near mg road,300
The Dessert Heaven - Pure Veg,20,"Desserts, Bakery",3.9,banaswadi,250
Kaati Zone Rolls and Wraps,1393,"Rolls, Fast Food, Beverages, Wraps, Desserts, Shake",4.0,kaggadasapura,250
Chai Point,4611,"Tea, Beverages, Shake, Fast Food, Rolls, Desserts, Coffee",4.0,mg road,250
Ludos Pizza,570,"Pizza, Fast Food",4.2,jeevan bhima nagar,250
Delicacy,273,"Chinese, Thai",3.9,frazer town,250
Chinese BAE,526,"Chinese, Seafood, Momos, Sichuan",4.1,jeevan bhima nagar,250
Donne Biryani Mane,11,"Biryani, South Indian",4.0,koramangala 4th block,250
The Good Bowl,2057,"North Indian, Pasta, Italian",4.0,thippasandra,250
Momoz,1035,"Chinese, Momos, Burger, Sichuan",3.8,jeevan bhima nagar,250
Mealful Rolls - India's Biggest Rolls,525,"Rolls, Fast Food, North Indian, Desserts, Beverages",4.3,indiranagar,250
Biggies Burger,43,"Fast Food, Burger, Beverages",3.9,frazer town,250
99 Variety Dosa & Pav Bhaji,162,"South Indian, Maharashtrian",3.7,koramangala 6th block,250
Keventers - Milkshakes & Desserts,22,"Shake, Beverages, Ice Cream",4.3,near brigade road,250
Mad Over Donuts,159,"Desserts, Waffle, Beverages",4.1,brigade road,250
FB Cakes,230,Bakery,3.8,marathahalli,250
