restaurant_name,Review,cusine,rating,place,price
Ovenstory Pizza,5111,pizza,4.3,indiranagar,300
Ovenstory Pizza,5111,fast food,4.3,indiranagar,300
Empire Restaurant,3587,north indian,4.0,brigade road,300
Empire Restaurant,3587,biryani,4.0,brigade road,300
Empire Restaurant,3587,kebab,4.0,brigade road,300
Empire Restaurant,3587,chinese,4.0,brigade road,300
Empire Restaurant,3587,south indian,4.0,brigade road,300
Empire Restaurant,3587,mughlai,4.0,brigade road,300
Empire Restaurant,3587,beverages,4.0,brigade road,300
Leon's Burgers & Wings,18,burger,4.3,frazer town,300
Leon's Burgers & Wings,18,fast food,4.3,frazer town,300
Leon's Burgers & Wings,18,wraps,4.3,frazer town,300
Leon's Burgers & Wings,18,street food,4.3,frazer town,300
Leon's Burgers & Wings,18,desserts,4.3,frazer town,300
Leon's Burgers & Wings,18,beverages,4.3,frazer town,300
Truffles,1960,burger,4.4,st. marks road,300
Truffles,1960,american,4.4,st. marks road,300
Truffles,1960,bakery,4.4,st. marks road,300
Truffles,1960,italian,4.4,st. marks road,300
Truffles,1960,oriental,4.4,st. marks road,300
Truffles,1960,continental,4.4,st. marks road,300
Truffles,1960,beverages,4.4,st. marks road,300
Truffles,1960,desserts,4.4,st. marks road,300
Domino's Pizza,419,pizza,4.1,indiranagar,300
Domino's Pizza,419,fast food,4.1,indiranagar,300
Domino's Pizza,419,desserts,4.1,indiranagar,300
Domino's Pizza,419,beverages,4.1,indiranagar,300
Biriyani Zone,73,biryani,3.9,cv raman nagar,300
Biriyani Zone,73,north indian,3.9,cv raman nagar,300
Biriyani Zone,73,chinese,3.9,cv raman nagar,300
Biriyani Zone,73,mughlai,3.9,cv raman nagar,300
Biriyani Zone,73,kebab,3.9,cv raman nagar,300
Biriyani Zone,73,seafood,3.9,cv raman nagar,300
Biriyani Zone,73,ice cream,3.9,cv raman nagar,300
Biriyani Zone,73,beverages,3.9,cv raman nagar,300
Sri Udupi Park,193,south indian,3.7,old airport road,300
Sri Udupi Park,193,north indian,3.7,old airport road,300
Sri Udupi Park,193,chinese,3.7,old airport road,300
Sri Udupi Park,193,street food,3.7,old airport road,300
Sri Udupi Park,193,beverages,3.7,old airport road,300
Sri Udupi Park,193,ice cream,3.7,old airport road,300
Sri Udupi Park,193,shake,3.7,old airport road,300
LeanCrust Pizza- ThinCrust Experts,402,pizza,4.4,indiranagar,300
LeanCrust Pizza- ThinCrust Experts,402,fast food,4.4,indiranagar,300
LeanCrust Pizza- ThinCrust Experts,402,beverages,4.4,indiranagar,300
LeanCrust Pizza- ThinCrust Experts,402,desserts,4.4,indiranagar,300
Meghana Foods,2316,biryani,4.4,residency road,300
Meghana Foods,2316,andhra,4.4,residency road,300
Meghana Foods,2316,north indian,4.4,residency road,300
Meghana Foods,2316,seafood,4.4,residency road,300
McDonald's,161,burger,3.8,ulsoor,200
McDonald's,161,fast food,3.8,ulsoor,200
McDonald's,161,beverages,3.8,ulsoor,200
KFC,0,burger,3.5,cv raman nagar,200
KFC,0,fast food,3.5,cv raman nagar,200
KFC,0,biryani,3.5,cv raman nagar,200
KFC,0,desserts,3.5,cv raman nagar,200
KFC,0,beverages,3.5,cv raman nagar,200
Burger King,112,burger,4.1,old madras road,200
Burger King,112,fast food,4.1,old madras road,200
Burger King,112,beverages,4.1,old madras road,200
Burger King,112,desserts,4.1,old madras road,200
Imperial Restaurant,453,mughlai,4.0,residency road,200
Imperial Restaurant,453,north indian,4.0,residency road,200
Imperial Restaurant,453,biryani,4.0,residency road,200
Imperial Restaurant,453,chinese,4.0,residency road,200
Imperial Restaurant,453,seafood,4.0,residency road,200
Imperial Restaurant,453,ice cream,4.0,residency road,200
Imperial Restaurant,453,desserts,4.0,residency road,200
Imperial Restaurant,453,beverages,4.0,residency road,200
Rotti Walla,11413,north indian,3.9,indiranagar,200
Rotti Walla,11413,south indian,3.9,indiranagar,200
Rotti Walla,11413,chinese,3.9,indiranagar,200
Rotti Walla,11413,mughlai,3.9,indiranagar,200
Rotti Walla,11413,biryani,3.9,indiranagar,200
Rotti Walla,11413,fast food,3.9,indiranagar,200
Rotti Walla,11413,beverages,3.9,indiranagar,200
Rotti Walla,11413,desserts,3.9,indiranagar,200
A2B - Adyar Ananda Bhavan,71,south indian,4.1,ulsoor,200
A2B - Adyar Ananda Bhavan,71,street food,4.1,ulsoor,200
A2B - Adyar Ananda Bhavan,71,north indian,4.1,ulsoor,200
A2B - Adyar Ananda Bhavan,71,chinese,4.1,ulsoor,200
A2B - Adyar Ananda Bhavan,71,fast food,4.1,ulsoor,200
A2B - Adyar Ananda Bhavan,71,beverages,4.1,ulsoor,200
A2B - Adyar Ananda Bhavan,71,desserts,4.1,ulsoor,200
Hyderabad Biryaani House,1419,biryani,4.0,old airport road,200
Hyderabad Biryaani House,1419,north indian,4.0,old airport road,200
Hyderabad Biryaani House,1419,hyderabadi,4.0,old airport road,200
Hyderabad Biryaani House,1419,mughlai,4.0,old airport road,200
Hyderabad Biryaani House,1419,chinese,4.0,old airport road,200
M.M.A Kabab and Rolls,114,north indian,3.7,old madras road,200
M.M.A Kabab and Rolls,114,mughlai,3.7,old madras road,200
M.M.A Kabab and Rolls,114,chinese,3.7,old madras road,200
M.M.A Kabab and Rolls,114,kebab,3.7,old madras road,200
M.M.A Kabab and Rolls,114,rolls,3.7,old madras road,200
M.M.A Kabab and Rolls,114,seafood,3.7,old madras road,200
M.M.A Kabab and Rolls,114,arabian,3.7,old madras road,200
M.M.A Kabab and Rolls,114,biryani,3.7,old madras road,200
Kailash Parbat,93,north indian,3.5,commercial street,200
Kailash Parbat,93,street food,3.5,commercial street,200
Kailash Parbat,93,beverages,3.5,commercial street,200
Bhartiya Jalpan,133,north indian,3.8,commercial street,200
Bhartiya Jalpan,133,street food,3.8,commercial street,200
Bhartiya Jalpan,133,rajasthani,3.8,commercial street,200
Bhartiya Jalpan,133,bengali,3.8,commercial street,200
Bhartiya Jalpan,133,mithai,3.8,commercial street,200
Bhartiya Jalpan,133,beverages,3.8,commercial street,200
Bhartiya Jalpan,133,desserts,3.8,commercial street,200
Pizza Hut,423,pizza,3.6,old airport road,200
Pizza Hut,423,fast food,3.6,old airport road,200
Pizza Hut,423,desserts,3.6,old airport road,200
Pizza Hut,423,beverages,3.6,old airport road,200
Nandhini Deluxe,476,andhra,4.0,frazer town,200
Nandhini Deluxe,476,biryani,4.0,frazer town,200
Nandhini Deluxe,476,south indian,4.0,frazer town,200
Nandhini Deluxe,476,north indian,4.0,frazer town,200
Nandhini Deluxe,476,chinese,4.0,frazer town,200
Nandhini Deluxe,476,mughlai,4.0,frazer town,200
Nandhini Deluxe,476,desserts,4.0,frazer town,200
Nandhini Deluxe,476,beverages,4.0,frazer town,200
La Pino'z Pizza,792,pizza,3.8,koramangala 4th block,200
La Pino'z Pizza,792,fast food,3.8,koramangala 4th block,200
Ambur Star Briyani Since 1890,6,biryani,3.9,koramangala 5th block,200
Ambur Star Briyani Since 1890,6,chettinad,3.9,koramangala 5th block,200
Ambur Star Briyani Since 1890,6,chinese,3.9,koramangala 5th block,200
